"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1968454066692125162,""Wed Sep 17 23:16:36 +0000 2025"",""0"",""BEI Cabut Suspensi Transaksi 4 Saham Dibuka #saham #infosaham #investasi https://t.co/YlbRGPDM3z"",""1968454066692125162"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968454066692125162"",""238091066"",";;
"1968453915357442191,""Wed Sep 17 23:16:00 +0000 2025"",""0"",""Asing Tetap Net Sell Saham Ini Banyak Dilepas #saham #infosaham #investasi https://t.co/27qt0fD6hW"",""1968453915357442191"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968453915357442191"",""238091066"",";;
"1968453164992201212,""Wed Sep 17 23:13:01 +0000 2025"",""0"",""Wall Street Mayoritas Turun Dow Jones Justru Naik Usai Pemangkasan The Fed #saham #infosaham #investasi https://t.co/lname83KNu"",""1968453164992201212"","""","""",""in"","""",""0"",""1"",""1"",""https://x.com/undefined/status/1968453164992201212"",""238091066"",";;
"1968453000994697583,""Wed Sep 17 23:12:22 +0000 2025"",""2"",""Harga Emas Rontok Usai Pernyataan Powell #emas #investasi https://t.co/WAh8UXZluR"",""1968453000994697583"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968453000994697583"",""238091066"",";;
"1968452798569226668,""Wed Sep 17 23:11:33 +0000 2025"",""0"",""The Fed Pangkas Suku Bunga Isyaratkan 2 Kali Lagi Tahun Ini #saham #infosaham #investasi https://t.co/XZXGdWKEOm"",""1968452798569226668"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968452798569226668"",""238091066"",";;
"1968314591450210554,""Wed Sep 17 14:02:22 +0000 2025"",""1"",""Erick Thohir Jadi Menpora Saham Grup Mahaka Melejit #saham #infosaham #investasi https://t.co/89XCpL1fpz"",""1968314591450210554"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968314591450210554"",""238091066"",";;
"1968293447733071875,""Wed Sep 17 12:38:21 +0000 2025"",""5"",""Jenis-jenis reksa dana yang sering dikenal masyarakat umumnya terbatas pada empat jenis utama: pasar uang pendapatan tetap campuran dan saham. Namun seiring perkembangan pasar terdapat jenis-jenis reksa dana yang lebih khusus. Sobat pernah dengar? #Investasi #ReksaDana https://t.co/b137O3wlGR"",""1968293447733071875"",""https://pbs.twimg.com/amplify_video_thumb/1968293372843700224/img/TRZ0oIUK9-QzWDGa.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968293447733071875"",""2179218738"",";;
"1968257375514886346,""Wed Sep 17 10:15:01 +0000 2025"",""2"",""Andry Hakim ikuti ilmu Valuasi Saham ala Warren Buffett https://t.co/TI7qYt0tL9 #fyp #mindsetorangkaya #investasi #keuangan #warrenbuffett #andryhakim https://t.co/lP6E5ISQQX"",""1968257375514886346"",""https://pbs.twimg.com/amplify_video_thumb/1968256145069637632/img/2mJz8FO06IValJsU.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968257375514886346"",""1947952752270950400"",";;
"1968251655528591651,""Wed Sep 17 09:52:17 +0000 2025"",""0"","" Investasi mana yang lebih cuan? Jangka pendek → cocok buat liburan gadget nikah. Jangka panjang → cocok buat rumah pensiun pendidikan anak. Jawabannya? Dua-duanya. Karena hidup butuh fleksibilitas + keamanan. #Keuangan #Investasi https://t.co/o5iIisdufD"",""1968251655528591651"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968251655528591651"",""1016870044624515072"",";;
"1968249761628295339,""Wed Sep 17 09:44:48 +0000 2025"",""0"",""Mari bersama dukung program MBG demi masa depan Indonesia yang lebih baik! Karena gizi bukan hanya soal kesehatan tapi masa depan bangsa. #Investasi #Hilirisasi #BKPM #SetahunBerdampak #InvestasiBerdampak"",""1968249770956513641"","""",""bkpm"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968249770956513641"",""106035510"",";;
"1968249350905315652,""Wed Sep 17 09:43:08 +0000 2025"",""0"",""Penutupan sesi 2 Rabu 17 September 2025 IHSG 8 025.18 (+0.85%) #IHSG #saham #investasi #indeks #pasarmodal #JCI #IDX #ciptadana #ciptadanasekuritasasia #QuickPick #PinePick #QuickPickPinePick #InvestasiCerdasmu https://t.co/fQIuriGTge"",""1968249350905315652"",""https://pbs.twimg.com/media/G1CgWURa0AABipZ.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968249350905315652"",""1396754054915653634"",";;
"1968243149807190336,""Wed Sep 17 09:18:34 +0000 2025"",""0"",""selalu nasihat klien pertimbangkan profil risiko &amp";" jangka masa sebelum memilih. #investasi #keuangan #pasarsaham #ekonomi #melayutudung https://t.co/ar535Q7myK"",""1968243171261104583"",""https://pbs.twimg.com/media/G1CauuSbYAAxrJ-.jpg"",""KarenTony361133"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968243171261104583"",""1810507951763046400"",";
"1968239132188237852,""Wed Sep 17 09:02:31 +0000 2025"",""0"",""Halo Bosque! Cieeee.. Sepertinya Bank Indonesia dan Pemerintah benar-benar sejalan untuk pertumbuhan ekonomi ya bosque.. kalau menurut bosque gimana? Komen dibawah ya!! Pilarmas Investindo Sekuritas Touch Your Heart Touch Your Profit #saham #sekuritas #investasi #pasarmodal https://t.co/mXuug4wX0B"",""1968239132188237852"",""https://pbs.twimg.com/media/G1CW4x_asAAfv2J.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968239132188237852"",""1082937852046979073"",";;
"1968217651337171210,""Wed Sep 17 07:37:10 +0000 2025"",""0"",""20 Tahun Bersama Indonesia Daewoong Raih Penghargaan Best Innovation in Biotechnology 2025 dan Kucurkan Investasi Rp5 26 Triliun #daewoong #Biotechnology #investasi https://t.co/5kn70YXb7Q"",""1968217651337171210"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968217651337171210"",""60490875"",";;
"1968216286393139393,""Wed Sep 17 07:31:45 +0000 2025"",""3"",""Trading Options di Pluang sudah tersedia untuk 650+ Saham AS dan ETF dengan expiry same day hingga 1 tahun. Pengen cuan di Options juga? Klik di sini https://t.co/a4D4exVKC1 #Investasi #SahamAS #sahamus #optionstrading #trading"",""1968216286393139393"","""","""",""in"","""",""0"",""3"",""3"",""https://x.com/undefined/status/1968216286393139393"",""902083753605980160"",";;
"1968204016804041028,""Wed Sep 17 06:43:01 +0000 2025"",""5"",""Trading = percepatan. Investasi = pondasi. Dua-duanya penting tinggal sesuaikan sama tujuan &amp";" waktumu. Ingat jangan salah pilih jalan. Salah kaprah = salah strategi = salah cuan. KuliTrader ️ | Edukasi finansial gaji UMR #Trading #Investasi #bitcoin #BNB #FED"",""1968204025180066143"","""",""kuli_trader"",""in"","""",""0"",""1"",""3"",""https://x.com/undefined/status/1968204025180066143"",""1240540001605013510"",";
"1968202780616822874,""Wed Sep 17 06:38:10 +0000 2025"",""1"",""Kementerian Investasi dan Hilirisasi/BKPM terus mendorong masuknya investasi berkualitas yang mendukung hilirisasi penciptaan lapangan kerja serta kontribusi nyata terhadap pertumbuhan ekonomi berkelanjutan. #Investasi #Hilirisasi #BKPM #SetahunBerdampak #InvestasiBerdampak https://t.co/u5bhWiXvWt"",""1968202802884382993"",""https://pbs.twimg.com/media/G1B2A7VbIAAukEr.jpg"",""bkpm"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968202802884382993"",""106035510"",";;
"1968198346260250761,""Wed Sep 17 06:20:27 +0000 2025"",""0"",""Kuningan Adiluhung 2025: Bupati Paparkan Catur Rupa https://t.co/0tqjFz5DK3 #KuninganAdiluhung #investasi #investor #investasisyariah #InvestorAttention #kuningan #PikiranRakyatKuningan"",""1968198346260250761"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968198346260250761"",""1337831150287384576"",";;
"1968195508155175384,""Wed Sep 17 06:09:11 +0000 2025"",""1"",""Update harga emas hari ini Inilah alasan kenapa #emas menjadi #investasi terbaik grafiknya selalu naik. Yuk invest di Nanovest pakai kode referral : Reviewtec480 berhadiah 40 RB. Link Download Nanovest: https://t.co/nQf2tjgt1g #Nanovest #HargaEmas #BeliEmas #EmasDigital https://t.co/aSR6nvaOxr"",""1968195508155175384"",""https://pbs.twimg.com/media/G1BuZWcbsAAOu_r.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968195508155175384"",""1907308112761237504"",";;
"1968185480467582985,""Wed Sep 17 05:29:20 +0000 2025"",""0"",""Penutupan sesi 1 Rabu 17 September 2025 IHSG 7 980.23 (+0.28%) #IHSG #saham #investasi #indeks #pasarmodal #JCI #IDX #ciptadana #ciptadanasekuritasasia #QuickPick #PinePick #QuickPickPinePick #InvestasiCerdasmu https://t.co/IlCeM76lhO"",""1968185480467582985"",""https://pbs.twimg.com/media/G1BmQhJbQAAk-cC.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968185480467582985"",""1396754054915653634"",";;
"1968181828873023926,""Wed Sep 17 05:14:49 +0000 2025"",""1"",""Andry Hakim ikuti nasehat Warren Buffett: Uang bekerja untuk Anda https://t.co/TI7qYt0tL9 #fyp #mindsetorangkaya #investasi #keuangan #warrenbuffett #andryhakim https://t.co/j68iId1yn9"",""1968181828873023926"",""https://pbs.twimg.com/amplify_video_thumb/1968181643392516096/img/NTniskP25zN96HjE.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968181828873023926"",""1947952752270950400"",";;
"1968179417127215570,""Wed Sep 17 05:05:14 +0000 2025"",""0"",""Harga Emas Perhiasan Hari Ini Rabu 17 September 2025 #emas #investasi https://t.co/jbmVqJGEOu"",""1968179417127215570"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968179417127215570"",""238091066"",";;
